Sol Mercurio Venus Tierra Marte Jupiter Saturno Urano Neptuno Pluton
-0.003551 -0.364802 0.119997 0.460900 -1.546301 0.304439 3.650400 16.288784 29.219448 12.896481 
-0.003628 -0.209829 0.294371 0.313615 -1.496578 0.372360 3.694982 16.268028 29.225420 12.923733 
-0.003705 -0.018945 0.450068 0.158134 -1.438162 0.440216 3.739473 16.247221 29.231365 12.950976 
-0.003781 0.174994 0.577032 -0.001539 -1.371249 0.507996 3.783872 16.226362 29.237284 12.978212 
-0.003858 0.321637 0.666877 -0.161270 -1.296088 0.575688 3.828178 16.205452 29.243174 13.005440 
-0.003934 0.339996 0.713538 -0.316921 -1.212980 0.643280 3.872390 16.184490 29.249037 13.032660 
-0.004010 0.159782 0.713765 -0.464480 -1.122283 0.710760 3.916507 16.163477 29.254873 13.059871 
-0.004086 -0.119182 0.667421 -0.600180 -1.024417 0.778116 3.960527 16.142412 29.260683 13.087073 
-0.004161 -0.348917 0.577522 -0.720613 -0.919862 0.845336 4.004450 16.121296 29.266466 13.114268 
-0.004237 -0.481002 0.450010 -0.822822 -0.809166 0.912408 4.048274 16.100128 29.272223 13.141455 
-0.004312 -0.513392 0.293292 -0.904376 -0.692944 0.979320 4.091999 16.078909 29.277952 13.168633 
-0.004387 -0.455605 0.117588 -0.963421 -0.571881 1.046060 4.135623 16.057640 29.283653 13.195803 
-0.004462 -0.320447 -0.065823 -0.998714 -0.446730 1.112616 4.179144 16.036320 29.289328 13.222964 
-0.004536 -0.125464 -0.245397 -1.009631 -0.318315 1.178977 4.222563 16.014948 29.294975 13.250117 
-0.004611 0.098488 -0.410069 -0.996157 -0.187527 1.245129 4.265878 15.993526 29.300596 13.277262 
-0.004686 0.286783 -0.549916 -0.958868 -0.055323 1.311061 4.309087 15.972052 29.306190 13.304399 
-0.004760 0.322404 -0.656689 -0.898886 0.077283 1.376760 4.352190 15.950527 29.311758 13.331527 
-0.004834 0.153445 -0.724219 -0.817838 0.209224 1.442216 4.395186 15.928952 29.317297 13.358646 
-0.004908 -0.092505 -0.748689 -0.717799 0.339392 1.507414 4.438074 15.907327 29.322809 13.385757 
-0.004982 -0.310480 -0.728786 -0.601234 0.466648 1.572345 4.480851 15.885651 29.328295 13.412860 
-0.005056 -0.459267 -0.665730 -0.470938 0.589837 1.636994 4.523518 15.863924 29.333754 13.439955 
-0.005130 -0.524523 -0.563212 -0.329968 0.707805 1.701351 4.566073 15.842147 29.339186 13.467041 
-0.005203 -0.500998 -0.427210 -0.181586 0.819413 1.765404 4.608516 15.820319 29.344591 13.494119 
-0.005276 -0.387649 -0.265722 -0.029188 0.923564 1.829139 4.650844 15.798441 29.349968 13.521188 
-0.005349 -0.190309 -0.088368 0.123753 1.019217 1.892545 4.693058 15.776513 29.355318 13.548248 
-0.005422 0.063498 0.094094 0.273758 1.105407 1.955610 4.735155 15.754535 29.360641 13.575300 
-0.005494 0.285289 0.270369 0.417398 1.181269 2.018322 4.777135 15.732506 29.365938 13.602344 
-0.005565 0.326750 0.429311 0.551364 1.246048 2.080670 4.818997 15.710427 29.371208 13.629379 
-0.005636 0.187225 0.560649 0.672527 1.299122 2.142640 4.860740 15.688298 29.376450 13.656406 
-0.005707 -0.022234 0.655725 0.778003 1.340006 2.204221 4.902362 15.666120 29.381664 13.683425 
-0.005777 -0.227593 0.708156 0.865218 1.368365 2.265401 4.943863 15.643890 29.386852 13.710435 
-0.005846 -0.390146 0.714346 0.931967 1.384016 2.326169 4.985242 15.621612 29.392014 13.737436 
-0.005915 -0.486536 0.673807 0.976479 1.386927 2.386511 5.026497 15.599283 29.397148 13.764429 
-0.005983 -0.498703 0.589211 0.997467 1.377214 2.446417 5.067627 15.576905 29.402254 13.791413 
-0.006050 -0.410497 0.466180 0.994182 1.355132 2.505875 5.108632 15.554478 29.407333 13.818389 
-0.006117 -0.212382 0.312846 0.966451 1.321065 2.564873 5.149509 15.532001 29.412386 13.845356 
-0.006184 0.069745 0.139214 0.914707 1.275515 2.623398 5.190259 15.509474 29.417412 13.872314 
-0.006249 0.307189 -0.043582 0.840001 1.219083 2.681441 5.230880 15.486897 29.422411 13.899264 
-0.006314 0.358600 -0.224048 0.743999 1.152460 2.738988 5.271371 15.464272 29.427382 13.926206 
-0.006379 0.258981 -0.391081 0.628957 1.076404 2.796028 5.311731 15.441596 29.432325 13.953138 
-0.006443 0.086281 -0.534616 0.497675 0.991730 2.852551 5.351959 15.418871 29.437243 13.980062 
-0.006506 -0.105466 -0.646177 0.353432 0.899296 2.908543 5.392054 15.396097 29.442133 14.006977 
-0.006569 -0.279814 -0.719292 0.199892 0.799985 2.963995 5.432015 15.373274 29.446995 14.033883 
-0.006631 -0.407189 -0.749786 0.041005 0.694696 3.018894 5.471840 15.350402 29.451830 14.060781 
-0.006693 -0.457762 -0.735957 -0.119118 0.584333 3.073230 5.511530 15.327480 29.456638 14.087669 
-0.006755 -0.397745 -0.678633 -0.276326 0.469797 3.126991 5.551082 15.304510 29.461420 14.114550 
-0.006816 -0.198145 -0.581135 -0.426562 0.351974 3.180166 5.590496 15.281491 29.466173 14.141421 
-0.006877 0.104371 -0.449124 -0.565986 0.231736 3.232744 5.629771 15.258423 29.470900 14.168284 
-0.006937 0.337666 -0.290347 -0.691086 0.109926 3.284715 5.668905 15.235306 29.475599 14.195138 
-0.006996 0.408415 -0.114263 -0.798777 -0.012635 3.336067 5.707898 15.212140 29.480272 14.221983 
-0.007055 0.350470 0.068438 -0.886480 -0.135160 3.386789 5.746748 15.188926 29.484917 14.248819 
-0.007113 0.213213 0.246434 -0.952180 -0.256894 3.436871 5.785455 15.165663 29.489534 14.275647 
-0.007171 0.035849 0.408455 -0.994463 -0.377116 3.486303 5.824017 15.142351 29.494125 14.302466 
-0.007228 -0.148867 0.544032 -1.012527 -0.495138 3.535073 5.862434 15.118991 29.498690 14.329276 
-0.007284 -0.307666 0.644242 -1.006184 -0.610309 3.583171 5.900704 15.095583 29.503225 14.356077 
-0.007340 -0.399124 0.702385 -0.975837 -0.722014 3.630588 5.938827 15.072126 29.507734 14.382870 
-0.007394 -0.367316 0.714530 -0.922446 -0.829669 3.677312 5.976801 15.048621 29.512217 14.409654 
-0.007449 -0.163033 0.679834 -0.847486 -0.932728 3.723335 6.014626 15.025068 29.516670 14.436428 
-0.007502 0.138333 0.600623 -0.752896 -1.030679 3.768645 6.052300 15.001467 29.521097 14.463194 
-0.007554 0.362301 0.482198 -0.641022 -1.123039 3.813233 6.089823 14.977818 29.525497 14.489951 
-0.007606 0.456359 0.332407 -0.514554 -1.209363 3.857089 6.127193 14.954120 29.529871 14.516699 
-0.007657 0.438016 0.161030 -0.376470 -1.289232 3.900204 6.164410 14.930374 29.534216 14.543438 
-0.007707 0.334778 -0.020950 -0.229968 -1.362264 3.942568 6.201472 14.906581 29.538534 14.570168 
-0.007757 0.172746 -0.202105 -0.078405 -1.428103 3.984172 6.238378 14.882740 29.542826 14.596889 
-0.007805 -0.021140 -0.371301 0.074765 -1.486426 4.025007 6.275128 14.858851 29.547089 14.623602 
-0.007853 -0.212263 -0.518348 0.226057 -1.536940 4.065063 6.311720 14.834915 29.551325 14.650306 
-0.007901 -0.346283 -0.634553 0.372019 -1.579381 4.104331 6.348154 14.810931 29.555534 14.677000 
-0.007947 -0.337889 -0.713152 0.509292 -1.613515 4.142804 6.384428 14.786900 29.559717 14.703686 
-0.007993 -0.132056 -0.749618 0.634678 -1.639141 4.180471 6.420541 14.762820 29.563871 14.730362 
-0.008038 0.146096 -0.741863 0.745203 -1.656088 4.217326 6.456492 14.738694 29.567999 14.757030 
