Sol Mercurio Venus Tierra Marte Jupiter Saturno Urano Neptuno Pluton
0.004889 0.401235 0.739499 -0.998002 0.978092 -3.127912 -7.777826 12.950422 -4.694608 -31.027842 
0.004823 0.490891 0.715849 -1.020329 0.882849 -3.070390 -7.746078 12.975840 -4.666130 -31.021748 
0.004756 0.494766 0.648446 -1.019345 0.782960 -3.012275 -7.714134 13.001215 -4.637648 -31.015635 
0.004688 0.397074 0.541823 -0.995063 0.678961 -2.953578 -7.681997 13.026548 -4.609161 -31.009502 
0.004620 0.189769 0.402748 -0.947992 0.571401 -2.894310 -7.649666 13.051841 -4.580670 -31.003353 
0.004551 -0.095459 0.239781 -0.879132 0.460846 -2.834480 -7.617143 13.077091 -4.552175 -30.997185 
0.004482 -0.320841 0.062760 -0.789962 0.347872 -2.774100 -7.584428 13.102300 -4.523675 -30.990997 
0.004412 -0.356590 -0.117737 -0.682421 0.233071 -2.713181 -7.551522 13.127466 -4.495171 -30.984791 
0.004341 -0.247752 -0.290946 -0.558882 0.117047 -2.651733 -7.518426 13.152590 -4.466663 -30.978565 
0.004270 -0.071344 -0.446481 -0.422114 0.000414 -2.589768 -7.485140 13.177671 -4.438151 -30.972321 
0.004198 0.120337 -0.574886 -0.275241 -0.116198 -2.527297 -7.451666 13.202711 -4.409636 -30.966057 
0.004126 0.291730 -0.668170 -0.121680 -0.232149 -2.464332 -7.418003 13.227708 -4.381115 -30.959774 
0.004053 0.413517 -0.720301 0.034922 -0.346788 -2.400884 -7.384153 13.252663 -4.352592 -30.953472 
0.003979 0.455730 -0.727634 0.190769 -0.459455 -2.336965 -7.350116 13.277575 -4.324063 -30.947151 
0.003905 0.384504 -0.689231 0.342005 -0.569478 -2.272587 -7.315894 13.302444 -4.295531 -30.940811 
0.003830 0.172991 -0.607043 0.484814 -0.676179 -2.207763 -7.281486 13.327270 -4.266995 -30.934454 
0.003754 -0.131807 -0.485899 0.615523 -0.778875 -2.142503 -7.246894 13.352053 -4.238455 -30.928078 
0.003679 -0.352897 -0.333282 0.730714 -0.876879 -2.076822 -7.212119 13.376793 -4.209911 -30.921682 
0.003602 -0.410992 -0.158881 0.827327 -0.969501 -2.010730 -7.177161 13.401490 -4.181363 -30.915268 
0.003526 -0.344418 0.026056 0.902766 -1.056056 -1.944241 -7.142021 13.426145 -4.152812 -30.908834 
0.003449 -0.202184 0.209530 0.954985 -1.135865 -1.877367 -7.106700 13.450756 -4.124256 -30.902382 
0.003371 -0.022873 0.379668 0.982561 -1.208259 -1.810121 -7.071199 13.475324 -4.095697 -30.895912 
0.003294 0.160925 0.525575 0.984747 -1.272589 -1.742516 -7.035518 13.499848 -4.067134 -30.889423 
0.003216 0.315577 0.638099 0.961495 -1.328226 -1.674564 -6.999659 13.524329 -4.038567 -30.882915 
0.003138 0.398723 0.710412 0.913462 -1.374576 -1.606280 -6.963621 13.548766 -4.009996 -30.876389 
0.003059 0.353565 0.738385 0.841976 -1.411082 -1.537677 -6.927407 13.573160 -3.981422 -30.869843 
0.002981 0.135326 0.720751 0.748992 -1.437235 -1.468766 -6.891016 13.597510 -3.952844 -30.863279 
0.002903 -0.165776 0.659062 0.637020 -1.452587 -1.399563 -6.854450 13.621817 -3.924263 -30.856697 
0.002824 -0.379755 0.557484 0.509034 -1.456758 -1.330081 -6.817709 13.646079 -3.895677 -30.850096 
0.002745 -0.463506 0.422460 0.368379 -1.449450 -1.260332 -6.780794 13.670298 -3.867089 -30.843475 
0.002666 -0.436829 0.262282 0.218659 -1.430454 -1.190331 -6.743707 13.694471 -3.838496 -30.836836 
0.002587 -0.327443 0.086605 0.063638 -1.399666 -1.120092 -6.706447 13.718601 -3.809900 -30.830179 
