Sol Mercurio Venus Tierra Marte Jupiter Saturno Urano Neptuno Pluton
0.000138 -0.021248 0.000183 0.000187 0.053856 -0.074044 -0.110110 -0.145377 -0.583424 -0.883522 
0.000140 0.001111 0.010986 0.000187 0.053762 -0.075228 -0.112136 -0.144974 -0.584110 -0.891890 
0.000142 0.023304 0.021115 0.000187 0.053383 -0.076397 -0.114160 -0.144571 -0.584796 -0.900258 
0.000143 0.041409 0.029953 0.000185 0.052722 -0.077552 -0.116180 -0.144167 -0.585481 -0.908625 
0.000145 0.050960 0.036974 0.000182 0.051784 -0.078692 -0.118198 -0.143763 -0.586166 -0.916992 
0.000147 0.046316 0.041771 0.000179 0.050573 -0.079816 -0.120213 -0.143358 -0.586850 -0.925358 
0.000148 0.022242 0.044069 0.000175 0.049095 -0.080925 -0.122225 -0.142952 -0.587533 -0.933724 
0.000150 -0.015054 0.043744 0.000170 0.047358 -0.082018 -0.124234 -0.142547 -0.588216 -0.942089 
0.000152 -0.043487 0.040819 0.000164 0.045370 -0.083095 -0.126239 -0.142140 -0.588898 -0.950453 
0.000153 -0.054442 0.035468 0.000159 0.043140 -0.084156 -0.128242 -0.141734 -0.589580 -0.958817 
0.000155 -0.050763 0.028003 0.000153 0.040678 -0.085201 -0.130241 -0.141326 -0.590261 -0.967180 
0.000156 -0.036799 0.018862 0.000147 0.037996 -0.086229 -0.132237 -0.140919 -0.590942 -0.975543 
0.000158 -0.016380 0.008586 0.000141 0.035106 -0.087240 -0.134229 -0.140511 -0.591622 -0.983905 
0.000160 0.006891 -0.002205 0.000136 0.032022 -0.088234 -0.136219 -0.140102 -0.592302 -0.992266 
0.000161 0.028855 -0.012851 0.000131 0.028759 -0.089211 -0.138204 -0.139693 -0.592981 -1.000627 
0.000163 0.043613 -0.022683 0.000127 0.025333 -0.090170 -0.140187 -0.139284 -0.593659 -1.008987 
0.000164 0.042356 -0.031071 0.000124 0.021761 -0.091111 -0.142166 -0.138874 -0.594337 -1.017347 
0.000166 0.017832 -0.037468 0.000122 0.018061 -0.092035 -0.144141 -0.138464 -0.595015 -1.025706 
0.000167 -0.017601 -0.041446 0.000121 0.014255 -0.092940 -0.146112 -0.138053 -0.595691 -1.034064 
0.000169 -0.044912 -0.042734 0.000121 0.010362 -0.093827 -0.148080 -0.137642 -0.596368 -1.042422 
0.000170 -0.058667 -0.041239 0.000122 0.006406 -0.094696 -0.150044 -0.137230 -0.597043 -1.050779 
0.000171 -0.059627 -0.037058 0.000125 0.002410 -0.095545 -0.152004 -0.136818 -0.597719 -1.059136 
0.000173 -0.049806 -0.030468 0.000128 -0.001601 -0.096376 -0.153961 -0.136405 -0.598393 -1.067492 
0.000174 -0.031439 -0.021905 0.000133 -0.005600 -0.097188 -0.155913 -0.135992 -0.599067 -1.075847 
0.000175 -0.007227 -0.011930 0.000139 -0.009559 -0.097980 -0.157862 -0.135579 -0.599741 -1.084201 
0.000177 0.018680 -0.001189 0.000146 -0.013451 -0.098753 -0.159806 -0.135165 -0.600414 -1.092555 
0.000178 0.038585 0.009638 0.000153 -0.017245 -0.099506 -0.161747 -0.134751 -0.601086 -1.100908 
